timestamp,x_mean,x_std,y_mean,y_std,x_mean,z_std,dT_mean,dT_std
23-03-17_11-13-51,2.324,0.437,nan,nan,1.258,0.386,2863.922,41546.277
23-03-17_11-13-56,2.406,0.459,3.953,1.239,1.178,0.599,2000.0,110.05
23-03-17_11-14-01,0.55,0.308,0.519,0.772,1.067,0.1,2000.0,89.835
23-03-17_11-14-06,0.165,0.0,0.302,0.125,0.249,1.024,2000.0,110.039
23-03-17_11-14-11,nan,nan,0.052,0.045,-0.776,0.461,2000.0,89.901
23-03-17_11-14-16,nan,nan,0.324,0.113,0.166,0.204,2000.0,110.097
23-03-17_11-14-21,nan,nan,0.407,0.349,0.224,0.316,2000.0,89.839
23-03-17_11-14-26,nan,nan,8.393,0.0,1.23,0.678,2000.0,110.076
23-03-17_11-14-31,3.3,1.88,8.566,0.82,2.079,1.772,2000.0,89.787
23-03-17_11-14-36,4.459,1.024,8.25,0.639,1.984,1.533,2000.0,110.093
23-03-17_11-14-41,0.189,0.319,0.372,0.27,0.901,0.089,2000.0,89.887
23-03-17_11-14-46,3.699,2.069,7.071,1.883,1.31,1.122,2000.0,110.116
23-03-17_11-14-51,4.314,2.284,7.214,1.134,1.781,1.237,2000.0,89.909
23-03-17_11-14-56,1.748,0.0,0.43,0.53,1.026,0.207,2000.0,110.047
23-03-17_11-15-01,1.085,0.005,0.594,0.316,0.872,0.313,2000.0,89.868
23-03-17_11-15-06,0.016,0.004,0.02,0.008,0.347,0.023,2000.0,110.098
23-03-17_11-15-11,0.011,0.005,0.016,0.014,0.324,0.009,2000.0,89.835
23-03-17_11-15-16,0.034,0.035,0.01,0.009,0.308,0.01,2000.0,110.073
23-03-17_11-15-21,0.014,0.005,0.013,0.006,0.292,0.006,2000.004,89.881
23-03-17_11-15-26,0.111,0.115,0.31,0.12,0.28,0.022,1999.996,110.096
23-03-17_11-15-31,0.116,0.065,0.353,0.176,0.141,0.052,2000.0,89.91
23-03-17_11-15-36,0.029,0.025,0.012,0.011,0.085,0.006,2000.0,110.059
23-03-17_11-15-41,0.009,0.003,0.004,0.002,0.085,0.007,2000.0,89.915
23-03-17_11-15-46,0.008,0.007,0.01,0.013,0.083,0.008,2000.0,110.049
23-03-17_11-15-51,0.065,0.045,0.028,0.028,0.083,0.008,2000.001,89.902
23-03-17_11-15-56,0.007,0.003,0.011,0.003,0.083,0.007,2000.0,110.058
23-03-17_11-16-01,0.008,0.003,0.006,0.002,0.084,0.007,2000.0,89.887
23-03-17_11-16-06,0.006,0.003,0.008,0.003,0.083,0.007,2000.0,110.073
23-03-17_11-16-11,0.006,0.004,0.006,0.003,0.084,0.007,2000.0,89.894
23-03-17_11-16-16,1.53,1.017,2.489,1.358,0.488,0.574,2000.0,110.072
23-03-17_11-16-21,3.931,1.637,6.07,0.909,1.602,0.923,2000.0,89.878
23-03-17_11-16-26,5.016,1.746,5.41,1.809,1.647,0.965,2000.0,110.098
23-03-17_11-16-31,5.824,2.738,3.939,2.264,1.689,1.047,2000.0,89.857
23-03-17_11-16-36,4.099,1.949,8.066,2.466,1.698,1.562,2000.33,108.835
23-03-17_11-16-41,0.156,0.108,0.17,0.112,0.924,0.079,1999.67,91.364
23-03-17_11-16-46,0.118,0.09,0.321,0.108,0.98,0.072,2000.0,89.912
23-03-17_11-16-51,0.165,0.068,0.12,0.078,0.985,0.027,2000.0,110.094
23-03-17_11-16-56,0.026,0.024,0.023,0.023,0.986,0.014,2000.0,89.89
23-03-17_11-17-01,0.229,0.106,0.053,0.077,0.983,0.052,2000.0,110.02
23-03-17_11-17-06,0.079,0.058,0.032,0.044,0.99,0.016,2000.0,89.883
23-03-17_11-17-11,0.098,0.098,0.09,0.071,0.963,0.053,2000.0,110.065
23-03-17_11-17-16,0.161,0.031,nan,nan,0.815,0.033,2000.0,89.908
23-03-17_11-17-21,0.034,0.022,0.025,0.014,0.793,0.015,2000.0,109.976
23-03-17_11-17-26,0.018,0.012,0.033,0.014,0.789,0.014,2000.0,89.862
23-03-17_11-17-31,0.05,0.042,0.066,0.022,0.789,0.015,2000.0,110.049
23-03-17_11-17-36,0.019,0.01,0.022,0.011,0.791,0.013,2000.0,89.871
23-03-17_11-17-41,0.021,0.016,0.025,0.013,0.792,0.014,2000.0,110.026
23-03-17_11-17-46,0.016,0.008,0.02,0.009,0.789,0.013,2000.0,89.879
23-03-17_11-17-51,0.017,0.009,0.02,0.009,0.789,0.014,2000.0,110.078
23-03-17_11-17-56,0.014,0.009,0.02,0.009,0.787,0.014,2000.0,89.866
23-03-17_11-18-01,0.013,0.007,0.02,0.008,0.787,0.013,2000.0,110.106
23-03-17_11-18-06,0.035,0.018,0.027,0.015,0.786,0.015,2000.0,89.897
23-03-17_11-18-11,0.055,0.039,0.044,0.031,0.796,0.022,2000.0,110.074
23-03-17_11-18-16,0.036,0.016,0.043,0.018,0.798,0.015,2000.0,89.881
23-03-17_11-18-21,0.075,0.055,0.063,0.051,0.801,0.02,2000.0,110.068
23-03-17_11-18-26,0.042,0.023,0.064,0.032,0.801,0.019,2000.0,89.865
23-03-17_11-18-31,0.039,0.021,0.065,0.03,0.801,0.019,2000.0,110.025
23-03-17_11-18-36,0.039,0.034,0.047,0.043,0.802,0.017,2000.0,89.866
23-03-17_11-18-41,0.019,0.009,0.019,0.011,0.8,0.014,2000.0,110.09
23-03-17_11-18-46,0.032,0.019,0.033,0.021,0.8,0.014,2000.0,89.874
23-03-17_11-18-51,0.326,0.191,0.302,0.16,0.803,0.059,2000.0,109.987
23-03-17_11-18-56,0.027,0.022,0.032,0.031,0.801,0.017,2000.0,89.863
23-03-17_11-19-01,0.049,0.026,0.059,0.041,0.8,0.017,2000.0,110.078
23-03-17_11-19-06,0.064,0.039,0.082,0.035,0.8,0.017,2000.0,89.885
23-03-17_11-19-11,0.015,0.007,0.016,0.005,0.801,0.013,2000.0,110.015
23-03-17_11-19-16,nan,nan,0.497,0.235,0.857,0.128,2000.0,89.874
23-03-17_11-19-21,2.091,2.106,3.198,1.755,1.129,0.683,2000.0,110.082
23-03-17_11-19-26,1.073,0.684,2.072,0.873,0.935,0.255,2000.0,89.903
23-03-17_11-19-31,0.073,0.074,0.008,0.0,1.089,0.038,2000.0,109.963
23-03-17_11-19-36,0.025,0.013,0.017,0.014,1.12,0.013,2000.0,89.842
23-03-17_11-19-41,0.248,0.169,0.458,0.253,0.77,0.24,2000.0,110.09
23-03-17_11-19-46,0.793,0.254,0.427,0.237,0.821,0.144,2000.0,89.861
23-03-17_11-19-51,nan,nan,0.02,0.012,0.76,0.019,2000.0,110.01
23-03-17_11-19-56,0.022,0.015,0.022,0.015,0.767,0.018,2000.0,89.797
23-03-17_11-20-01,0.345,0.079,0.197,0.098,0.83,0.052,2000.0,110.032
